Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
04/21/2025,AplPay TIPSY'S MKT BROXBURY CROSS       MA,15.98,"63700418    617-442-9800
AplPay TIPSY'S MKT BEER & WINE 0000
ROXBURY CROSS
MA
Description : GROCERIES/SUNDRIES Price : 0.00
617-442-9800",AplPay TIPSY'S MKT BROXBURY CROSS       MA,739 PARKER ST,"ROXBURY CROSSING
MA",02120,UNITED STATES,'320251120839153379',Merchandise & Supplies-Groceries
04/20/2025,AplPay BRIGHAM LIQUOBOSTON              MA,8.32,"73011005111 BRIGHAM732@GMAIL.COM
AplPay BRIGHAM LIQUORS 739757300745769
BOSTON
MA
BRIGHAM732@GMAIL.COM",AplPay BRIGHAM LIQUOBOSTON              MA,732 HUNTINGTON AVE,"BOSTON
MA",02115,UNITED STATES,'320251110807335657',Merchandise & Supplies-Groceries
04/20/2025,AplPay DUNKIN #35050BOSTON              MA,3.50,"25201738215 617-442-7600
AplPay DUNKIN #350509 3505
BOSTON
MA
Description : FAST FOOD RESTAURAN Price : 0.00
617-442-7600",AplPay DUNKIN #35050BOSTON              MA,1443 TREMONT ST,"BOSTON
MA",02120,UNITED STATES,'320251110819366129',Restaurant-Bar & Café
04/20/2025,AplPay TACO BELL 041ALLSTON             MA,9.63,"838415      203-435-5404
AplPay TACO BELL 041634 0416
ALLSTON
MA
Description : FAST FOOD RESTAURAN Price : 0.00
203-435-5404",AplPay TACO BELL 041ALLSTON             MA,1222 COMMONWEALTH AVE,"ALLSTON
MA",02134,UNITED STATES,'320251100787679466',Restaurant-Bar & Café
04/19/2025,AplPay MBTA-55001252BOSTON              MA,2.40,"000024313568003926100
MBTA-550012522342-1046
AplPay MBTA-550012522342 LOCID1
BOSTON
MA
MBTA-550012522342-1046
8003926100",AplPay MBTA-55001252BOSTON              MA,10 Park Plaza,"Boston
MA",02116,UNITED STATES,'320251100794349208',Other-Government Services
04/18/2025,AplPay TST* WINGS OVBOSTON              MA,12.88,"00048112024 RESTAURANT
AplPay TST* WINGS OVER - BOSTON 00048112
BOSTON
MA
RESTAURANT",AplPay TST* WINGS OVBOSTON              MA,325 HUNTINGTON AVE,"BOSTON
MA",02115,UNITED STATES,'320251090765923197',Restaurant-Bar & Café
04/18/2025,SCORPION BAR GRAND  BOSTON              MA,39.99,"6790532212       02210
SCORPION BAR GRAND
BOSTON
MA
6790532212       02210",SCORPION BAR GRAND  BOSTON              MA,58 SEAPORT BLVD STE 200,"BOSTON
MA",02210,UNITED STATES,'320251090756705179',Restaurant-Restaurant
04/17/2025,AplPay MBTA-55001252BOSTON              MA,2.40,"000024063228003926100
MBTA-550012522342-1046
AplPay MBTA-550012522342 LOCID1
BOSTON
MA
MBTA-550012522342-1046
8003926100",AplPay MBTA-55001252BOSTON              MA,10 Park Plaza,"Boston
MA",02116,UNITED STATES,'320251080738562204',Other-Government Services
04/16/2025,AMAZON.COM          AMZN.COM/BILL       WA,8.48,"62AOT6IHNSK MERCHANDISE
AMAZON.COM
AMZN.COM/BILL
WA
MERCHANDISE",AMAZON.COM          AMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320251070714299630',Merchandise & Supplies-Internet Purchase
04/16/2025,AplPay Grubhub - NorBoston              MA,10.00,"011257114170112571141744847902115
AplPay Grubhub - Northeastern Univers
Boston
MA
0112571141744847902115",AplPay Grubhub - NorBoston              MA,360 HUNTINGTON AVE,"BOSTON
MA",02115,UNITED STATES,'320251070709332188',Restaurant-Restaurant
04/15/2025,AplPay CPI*PRESTIGE CLIFTON PARK        NY,3.00,"21105175105 FAST FOOD RESTAURANT
AplPay CPI*PRESTIGE SERVICES, IN
CLIFTON PARK
NY
FAST FOOD RESTAURANT",AplPay CPI*PRESTIGE CLIFTON PARK        NY,4 ENTERPRISE AVE,"CLIFTON PARK
NY",12065,UNITED STATES,'320251050666135339',Restaurant-Bar & Café
04/14/2025,AplPay BERRYLINE    Cambridge           MA,9.91,"LTpHJrPaVWM squareup.com/receipts
AplPay BERRYLINE
Cambridge
MA",AplPay BERRYLINE    Cambridge           MA,3 ARROW ST,"CAMBRIDGE
MA",02138-5101,UNITED STATES,'320251030609591362',Restaurant-Restaurant
04/14/2025,AplPay MBTA-55001252BOSTON              MA,2.40,"000023664888003926100
MBTA-550012522342-1046
AplPay MBTA-550012522342 LOCID1
BOSTON
MA
MBTA-550012522342-1046
8003926100",AplPay MBTA-55001252BOSTON              MA,10 Park Plaza,"Boston
MA",02116,UNITED STATES,'320251050652159055',Other-Government Services
04/14/2025,AplPay ZINNEKEN'S BECambridge           MA,14.18,"NMTqhE60L9j squareup.com/receipts
AplPay ZINNEKEN'S BELGIAN WAFFLES HARVARD
Cambridge
MA",AplPay ZINNEKEN'S BECambridge           MA,1154 MASSACHUSETTS AVE,"CAMBRIDGE
MA",02138-5205,UNITED STATES,'320251030609854089',Restaurant-Restaurant
04/14/2025,ONLINE PAYMENT - THANK YOU,-140.00,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,,,'320251040614940416',
04/13/2025,AplPay H MART CBG   CAMBRIDGE           MA,6.99,"0004423     857-209-2747
AplPay H MART CBG
CAMBRIDGE
MA
Description : GROCERIES/SUNDRIES Price : 0.00
857-209-2747",AplPay H MART CBG   CAMBRIDGE           MA,581 MASSACHUSETTS AVE,"CAMBRIDGE
MA",02139-4030,UNITED STATES,'320251040635041715',Merchandise & Supplies-Groceries
04/13/2025,AplPay MBTA-55001252BOSTON              MA,0.70,"000023624188003926100
MBTA-550012522342-1046
AplPay MBTA-550012522342 LOCID1
BOSTON
MA
MBTA-550012522342-1046
8003926100",AplPay MBTA-55001252BOSTON              MA,10 Park Plaza,"Boston
MA",02116,UNITED STATES,'320251040628418166',Other-Government Services
04/13/2025,AplPay MBTA-55001252BOSTON              MA,1.70,"000023618708003926100
MBTA-550012522342-1046
AplPay MBTA-550012522342 LOCID1
BOSTON
MA
MBTA-550012522342-1046
8003926100",AplPay MBTA-55001252BOSTON              MA,10 Park Plaza,"Boston
MA",02116,UNITED STATES,'320251040630789170',Other-Government Services
04/13/2025,AplPay MBTA-55001252BOSTON              MA,1.70,"000023621318003926100
MBTA-550012522342-1046
AplPay MBTA-550012522342 LOCID1
BOSTON
MA
MBTA-550012522342-1046
8003926100",AplPay MBTA-55001252BOSTON              MA,10 Park Plaza,"Boston
MA",02116,UNITED STATES,'320251040630901330',Other-Government Services
04/13/2025,AplPay MBTA-55001252BOSTON              MA,2.40,"000023583148003926100
MBTA-550012522342-1046
AplPay MBTA-550012522342 LOCID1
BOSTON
MA
MBTA-550012522342-1046
8003926100",AplPay MBTA-55001252BOSTON              MA,10 Park Plaza,"Boston
MA",02116,UNITED STATES,'320251040627151848',Other-Government Services
04/13/2025,TST* LANNER 00156586CAMBRIDGE           MA,151.46,"21105175104 RESTAURANT
TST* LANNER 00156586
CAMBRIDGE
MA
RESTAURANT",TST* LANNER 00156586CAMBRIDGE           MA,"99 TREMONT ST
510","BRIGHTON
MA",02135,UNITED STATES,'320251040624854058',Restaurant-Restaurant
04/12/2025,AplPay TACO BELL #03BOSTON              MA,7.25,"0442273     860-518-2577
AplPay TACO BELL #035162 0351
BOSTON
MA
Description : FAST FOOD RESTAURAN Price : 0.00
860-518-2577",AplPay TACO BELL #03BOSTON              MA,75 SUMMER ST,"BOSTON
MA",02110,UNITED STATES,'320251020570135606',Restaurant-Bar & Café
04/12/2025,AplPay TACO BELL #03BOSTON              MA,10.69,"0438890     860-518-2577
AplPay TACO BELL #035162 0351
BOSTON
MA
Description : FAST FOOD RESTAURAN Price : 0.00
860-518-2577",AplPay TACO BELL #03BOSTON              MA,75 SUMMER ST,"BOSTON
MA",02110,UNITED STATES,'320251020570135680',Restaurant-Bar & Café
04/11/2025,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-10.60,"1E17LYE46VM MERCHANDISE
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
MERCHANDISE",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320251010535452945',Merchandise & Supplies-Internet Purchase
04/11/2025,AplPay CRISPY DOUGH BOSTON              MA,10.55,"85280005103617-445-7799
AplPay CRISPY DOUGH PIZZERIA
BOSTON
MA
617-445-7799",AplPay CRISPY DOUGH BOSTON              MA,1514 TREMONT ST,"ROXBURY CROSSING
MA",02120,UNITED STATES,'320251030611314563',Restaurant-Restaurant
04/11/2025,AplPay MBTA-55001252BOSTON              MA,2.40,"000023399298003926100
MBTA-550012522342-1046
AplPay MBTA-550012522342 LOCID1
BOSTON
MA
MBTA-550012522342-1046
8003926100",AplPay MBTA-55001252BOSTON              MA,10 Park Plaza,"Boston
MA",02116,UNITED STATES,'320251020575880543',Other-Government Services
04/11/2025,CRISPY DOUGH PIZZERIBOSTON              MA,5.27,"85280005103617-445-7799
CRISPY DOUGH PIZZERIA
BOSTON
MA
617-445-7799",CRISPY DOUGH PIZZERIBOSTON              MA,1514 TREMONT ST,"ROXBURY CROSSING
MA",02120,UNITED STATES,'320251030611315751',Restaurant-Restaurant
04/11/2025,HIGH STREET RESTAURABOSTON              MA,14.00,"21105175102 RESTAURANT
HIGH STREET RESTAURAN
BOSTON
MA
RESTAURANT",HIGH STREET RESTAURABOSTON              MA,184 HIGH ST,"BOSTON
MA",02110,UNITED STATES,'320251020566741131',Restaurant-Restaurant
04/11/2025,HIGH STREET RESTAURABOSTON              MA,42.52,"21105175102 RESTAURANT
HIGH STREET RESTAURAN
BOSTON
MA
RESTAURANT",HIGH STREET RESTAURABOSTON              MA,184 HIGH ST,"BOSTON
MA",02110,UNITED STATES,'320251020567757799',Restaurant-Restaurant
04/11/2025,MOBILE PAYMENT - THANK YOU,-375.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320251010532710734',
04/11/2025,MOBILE PAYMENT - THANK YOU,-30.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320251010532641027',
04/10/2025,NORTHEASTERN GIVING 617-373-5520        MA,10.00,"46019231K9B DONATIONS
NORTHEASTERN GIVING
617-373-5520
MA
DONATIONS",NORTHEASTERN GIVING 617-373-5520        MA,360 HUNTINGTON AVE,"BOSTON
MA",02115,UNITED STATES,'320251010544803094',Other-Education
04/09/2025,IC* COSTCO BY INSTACISSAQUAH            WA,148.20,"CH_2RBZV4XL +18009552292
IC* COSTCO BY INSTACAR
ISSAQUAH
WA
+18009552292",IC* COSTCO BY INSTACISSAQUAH            WA,999 LK DR,"ISSAQUAH
WA",98027,UNITED STATES,'320250990480297332',Merchandise & Supplies-General Retail
04/08/2025,AplPay MBTA-55001252BOSTON              MA,2.40,"000023140508003926100
MBTA-550012522342-1046
AplPay MBTA-550012522342 LOCID1
BOSTON
MA
MBTA-550012522342-1046
8003926100",AplPay MBTA-55001252BOSTON              MA,10 Park Plaza,"Boston
MA",02116,UNITED STATES,'320250990491906223',Other-Government Services
04/07/2025,AplPay MBTA-55001252BOSTON              MA,2.40,"000022984628003926100
MBTA-550012522342-1046
AplPay MBTA-550012522342 LOCID1
BOSTON
MA
MBTA-550012522342-1046
8003926100",AplPay MBTA-55001252BOSTON              MA,10 Park Plaza,"Boston
MA",02116,UNITED STATES,'320250980467991723',Other-Government Services
04/07/2025,AplPay MBTA-55001252BOSTON              MA,2.40,"000022997158003926100
MBTA-550012522342-1046
AplPay MBTA-550012522342 LOCID1
BOSTON
MA
MBTA-550012522342-1046
8003926100",AplPay MBTA-55001252BOSTON              MA,10 Park Plaza,"Boston
MA",02116,UNITED STATES,'320250980468252520',Other-Government Services
04/06/2025,ONLINE PAYMENT - THANK YOU,-180.00,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,,,'320250960398360423',
04/05/2025,AplPay MBTA-55001252BOSTON              MA,2.40,"000022833538003926100
MBTA-550012522342-1046
AplPay MBTA-550012522342 LOCID1
BOSTON
MA
MBTA-550012522342-1046
8003926100",AplPay MBTA-55001252BOSTON              MA,10 Park Plaza,"Boston
MA",02116,UNITED STATES,'320250960411619172',Other-Government Services
04/05/2025,AplPay MBTA-55001252BOSTON              MA,2.40,"000022843028003926100
MBTA-550012522342-1046
AplPay MBTA-550012522342 LOCID1
BOSTON
MA
MBTA-550012522342-1046
8003926100",AplPay MBTA-55001252BOSTON              MA,10 Park Plaza,"Boston
MA",02116,UNITED STATES,'320250960411775269',Other-Government Services
04/04/2025,AplPay MBTA-55001252BOSTON              MA,2.40,"000022764598003926100
MBTA-550012522342-1046
AplPay MBTA-550012522342 LOCID1
BOSTON
MA
MBTA-550012522342-1046
8003926100",AplPay MBTA-55001252BOSTON              MA,10 Park Plaza,"Boston
MA",02116,UNITED STATES,'320250950387255789',Other-Government Services
04/04/2025,AplPay TEA-DO (NEU /Boston              MA,17.92,"vHuzQE4RKeW squareup.com/receipts
AplPay TEA-DO (NEU / FENWAY)
Boston
MA
squareup.com/receipts",AplPay TEA-DO (NEU /Boston              MA,333 HUNTINGTON AVE,"BOSTON
MA",02115-4401,UNITED STATES,'320250940349400391',Restaurant-Bar & Café
04/02/2025,AMAZON MARKEPLACE NA PA,58.32,"6U28IUTCC0Z MERCHANDISE
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
MERCHANDISE",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320250930330671234',Merchandise & Supplies-Internet Purchase
04/02/2025,AMAZON MARKEPLACE NA PA,125.93,"692L88F09PA MERCHANDISE
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
MERCHANDISE",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320250930333898777',Merchandise & Supplies-Internet Purchase
04/02/2025,AMEX DUNKIN' CREDIT,-7.00,"DUNKIN' MOBILE
AMEX DUNKIN' CREDIT",AMEX DUNKIN' CREDIT,,,,,'320250950345903165',Fees & Adjustments-Fees & Adjustments
04/02/2025,AplPay MBTA-55001252BOSTON              MA,2.40,"000022480388003926100
MBTA-550012522342-1046
AplPay MBTA-550012522342 LOCID1
BOSTON
MA
MBTA-550012522342-1046
8003926100",AplPay MBTA-55001252BOSTON              MA,10 Park Plaza,"Boston
MA",02116,UNITED STATES,'320250930330372894',Other-Government Services
04/02/2025,DUNKIN' MOBILE      CANTON              MA,7.00,"e3b0797f521 800-447-0013
DUNKIN' MOBILE
CANTON
MA
Description : FAST FOOD RESTAURAN Price : 0.00
800-447-0013",DUNKIN' MOBILE      CANTON              MA,130 ROYALL ST,"CANTON
MA",02021,UNITED STATES,'320250930325773006',Restaurant-Bar & Café
04/01/2025,AMAZON.COM          AMZN.COM/BILL       WA,29.20,"50V94VFOOJF MERCHANDISE
AMAZON.COM
AMZN.COM/BILL
WA
MERCHANDISE",AMAZON.COM          AMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320250920295993484',Merchandise & Supplies-Internet Purchase
04/01/2025,AplPay LYFT         855-280-0278        CA,11.20,"CH_2R9ABSJB2066851740080796494104
2066851740080796442
AplPay LYFT
855-280-0278
CA
2066851740080796442
2066851740080796494104",AplPay LYFT         855-280-0278        CA,185 BERRY ST STE 5000,"SAN FRANCISCO
CA",94107,UNITED STATES,'320250910282995780',Transportation-Taxis & Coach
03/31/2025,UBER,15.44,"EVC5YJMJ   SCXSOAE3         02120
Uber Trip
help.uber.com
CA
SCXSOAE3         02120",Uber Trip           help.uber.com       CA,"1455 MARKET ST
4TH FLOOR","SAN FRANCISCO
CA",94103,UNITED STATES,'320250900238985460',Transportation-Taxis & Coach
03/30/2025,AplPay BLANK STREET Boston              MA,6.32,"REMR12Njiu1 squareup.com/receipts
AplPay BLANK STREET COFFEE
Boston
MA
squareup.com/receipts",AplPay BLANK STREET Boston              MA,647 BOYLSTON ST,"BOSTON
MA",02116,UNITED STATES,'320250890212982523',Restaurant-Bar & Café
03/30/2025,AplPay CRISPY DOUGH BOSTON              MA,10.55,"85280005089617-445-7799
AplPay CRISPY DOUGH PIZZERIA
BOSTON
MA
617-445-7799",AplPay CRISPY DOUGH BOSTON              MA,1514 TREMONT ST,"ROXBURY CROSSING
MA",02120,UNITED STATES,'320250890231597245',Restaurant-Restaurant
03/30/2025,AplPay MBTA-55001252BOSTON              MA,1.70,"000022226058003926100
MBTA-550012522342-1046
AplPay MBTA-550012522342 LOCID1
BOSTON
MA
MBTA-550012522342-1046
8003926100",AplPay MBTA-55001252BOSTON              MA,10 Park Plaza,"Boston
MA",02116,UNITED STATES,'320250900249538703',Other-Government Services
03/30/2025,AplPay TRADER JOE S BOSTON              MA,49.74,"000021906176265993700
AplPay TRADER JOE S #510 000000510
BOSTON
MA
6265993700",AplPay TRADER JOE S BOSTON              MA,899 BOYLSTON ST,"BOSTON
MA",02115,UNITED STATES,'320250900242988205',Merchandise & Supplies-Groceries
03/29/2025,AplPay FUENTES MARKEBOSTON              MA,50.98,"51200149    617-442-5386
AplPay FUENTES MARKET LIQUORS 0936
BOSTON
MA
Description : LIQUOR/BEVERAGES/SN Price : 0.00
617-442-5386",AplPay FUENTES MARKEBOSTON              MA,680 PARKER ST,"ROXBURY CROSSING
MA",02120,UNITED STATES,'320250890223899569',Merchandise & Supplies-Groceries
03/29/2025,AplPay MBTA-55001252BOSTON              MA,2.40,"000022142058003926100
MBTA-550012522342-1046
AplPay MBTA-550012522342 LOCID1
BOSTON
MA
MBTA-550012522342-1046
8003926100",AplPay MBTA-55001252BOSTON              MA,10 Park Plaza,"Boston
MA",02116,UNITED STATES,'320250890220338499',Other-Government Services
03/29/2025,AplPay POKE BAR AND BOSTON              MA,19.21,"00023682    617-266-6080
AplPay POKE BAR AND KITCHEN 0001
BOSTON
MA
Description : GENERAL MERCH Price : 0.00
617-266-6080",AplPay POKE BAR AND BOSTON              MA,313 HUNTINGTON AVE,"BOSTON
MA",02115,UNITED STATES,'320250900252838223',Restaurant-Bar & Café
03/29/2025,AplPay TIPSY'S MKT BROXBURY CROSS       MA,21.99,"63200257    617-442-9800
AplPay TIPSY'S MKT BEER & WINE 0000
ROXBURY CROSS
MA
Description : GROCERIES/SUNDRIES Price : 0.00
617-442-9800",AplPay TIPSY'S MKT BROXBURY CROSS       MA,739 PARKER ST,"ROXBURY CROSSING
MA",02120,UNITED STATES,'320250890220813304',Merchandise & Supplies-Groceries
03/28/2025,AplPay MBTA-55001252BOSTON              MA,2.40,"000022039078003926100
MBTA-550012522342-1046
AplPay MBTA-550012522342 LOCID1
BOSTON
MA
MBTA-550012522342-1046
8003926100",AplPay MBTA-55001252BOSTON              MA,10 Park Plaza,"Boston
MA",02116,UNITED STATES,'320250880198568158',Other-Government Services
03/28/2025,BLANCHARDS - ALLSTONALLSTON             MA,233.96,"######QPQdT LIQUOR STORE
BLANCHARDS - ALLSTON
ALLSTON
MA
LIQUOR STORE",BLANCHARDS - ALLSTONALLSTON             MA,103 HARVARD AVE,"ALLSTON
MA",02134,UNITED STATES,'320250880183596532',Merchandise & Supplies-Groceries
03/28/2025,MOBILE PAYMENT - THANK YOU,-2523.42,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320250870153553604',
